bottleneck,timepoint,mean,lower,upper,CI,log10.mean,log10.lower,log10.upper
2,t0,42333.33,6706.497,77960.17,71253.673,4.626682432,3.8264957347,4.8918727775
3,t0,41000,6495.257,75504.74,69009.483,4.6127838567,3.8125963396,4.8779742164
4,t0,46333.33,7340.218,85326.45,77986.232,4.6658935143,3.8657089584,4.9310836772
5,t0,50333.33,7973.939,92692.73,84718.791,4.7018556638,3.901672909,4.9670456733
6,t0,43333.33,6864.928,79801.74,72936.812,4.6368220642,3.8366359867,4.9020123608
7,t0,42000,6653.687,77346.31,70692.623,4.6232492904,3.8230623671,4.8884395994
8,t0,10000,1583.921,18416.08,16832.159,4,3.1997335168,4.2651971929
9,t0,10000,1583.921,18416.08,16832.159,4,3.1997335168,4.2651971929
2,t1,29666666667,4700095443,54633237891,49933142448,10.4722687519,9.6721066771,10.7374569402
3,t1,31000000000,4911335687,57088664313,52177328626,10.4913616938,9.6911996189,10.7565498821
4,t1,464000000000,73511605130,854488394870,780976789740,11.6665179806,10.8663559057,11.9317061688
5,t1,335233333333,53111078505,617355588162,564244509657,11.5253471954,10.7251851205,11.7905353836
6,t1,19333333333,3062983547,35603683120,32540699573,10.2863067388,9.486144664,10.5514949271
7,t1,25333333333,4013564648,46653102019,42639537371,10.4036923376,9.6035302627,10.6688805258
8,t1,24000000000,3802324403,44197675597,40395351194,10.3802112417,9.5800491668,10.6453994299
9,t1,178333333333,28253382718,328413283948,300159901230,11.2512325273,10.4510704524,11.5164207155
2,t2,12066667,1911724,22221609,20309885,7.0815873278,6.2814251924,7.3467755017
3,t2,8700000,1378342,16021658,14643316,6.9395192526,6.1393569899,7.204707457
4,t2,15533333,2460948,28605718,26144770,7.1912646527,6.3911024371,7.456452853
5,t2,6800000,1077325,12522675,11445350,6.8325089127,6.032346738,7.0976971095
6,t2,5900000,934737.7,10865262,9930524.3,6.7708520116,5.9706897591,7.0360402032
7,t2,5033333,797431.5,9269235,8471803.5,6.7018556638,5.9016933871,6.9670438928
8,t2,22000000,3485464,40514536,37029072,7.3424226808,6.5422606014,7.6076108694
9,t2,46000000,7287788,84712212,77424424,7.6627578317,6.8625957306,7.9279460222
2,t3,11666.67,1847.972,21485.36,19637.388,4.0669469137,3.2666953866,4.3321426349
3,t3,27666.67,4382.855,50950.48,46567.625,4.44195689,3.6417571029,4.7071482798
4,t3,9000,1425.491,16574.51,15149.019,3.9542425094,3.1539644797,4.219440698
5,t3,1333.333,210.8599,2455.807,2244.9471,3.124938628,2.3239939962,3.3901942329
6,t3,2333.333,369.2901,4297.377,3928.0869,3.3679767233,2.5673676652,3.6332034551
7,t3,5333.333,844.5806,9822.086,8977.5054,3.7269987008,2.9266411015,3.9922037324
8,t3,2066.667,327.042,3806.291,3479.249,3.3152705048,2.51460353,3.5805019881
9,t3,8.964539E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
2,t4,0.0001373291,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
3,t4,4.196167E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
4,t4,0,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
5,t4,7.247925E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
6,t4,0.000125885,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
7,t4,9.536743E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
8,t4,0.000076294,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
9,t4,8.678436E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
2,t5,0.0001411438,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
3,t5,0.000038147,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
4,t5,0,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
5,t5,4.959106E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
6,t5,0.0001296997,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
7,t5,9.536743E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
8,t5,8.392334E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
9,t5,7.724762E-05,-1.192341E-08,1.192341E-08,2.384682E-08,0,0,0
