Bottleneck,Spacer.Number,mean,lower,upper
2,1,0.26,0.19,0.34
2,2,0.37,0.28,0.45
2,3,0.27,0.21,0.33
2,4,0.07,0.03,0.12
2,>=5,0.04,0.01,0.09
3,1,0.41,0.32,0.5
3,2,0.36,0.28,0.45
3,3,0.16,0.1,0.23
3,4,0.04,0.02,0.09
3,>=5,0.03,0.01,0.07
4,1,0.46,0.37,0.56
4,2,0.26,0.2,0.32
4,3,0.15,0.09,0.22
4,4,0.08,0.04,0.14
4,>=5,0.05,0.02,0.1
5,1,0.38,0.29,0.47
5,2,0.38,0.29,0.47
5,3,0.15,0.09,0.22
5,4,0.07,0.03,0.13
5,>=5,0.02,0,0.05
6,1,0.39,0.3,0.48
6,2,0.34,0.25,0.43
6,3,0.16,0.1,0.24
6,4,0.1,0.06,0.17
6,>=5,0.01,0,0.04
7,1,0.38,0.29,0.49
7,2,0.3,0.21,0.4
7,3,0.17,0.11,0.24
7,4,0.03,0,0.09
7,>=5,0.1,0.05,0.18
8,1,1,0.97,1
8,2,0,0,0
8,3,0,0,0
8,4,0,0,0
8,>=5,0,0,0
9,1,NA,NA,NA
9,2,NA,NA,NA
9,3,NA,NA,NA
9,4,NA,NA,NA
9,>=5,NA,NA,NA
